Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;Muertes;Casos_Activos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Valparaiso;Algarrobo;5602;1;43893;560243893;0;0;0;0;0;0;0;0;OFF;43
Metropolitana;Alhue;13502;1;43893;1350243893;0;0;0;0;0;0;0;0;OFF;0
Biobio;Alto_Biobio;8314;1;43893;831443893;0;0;0;0;0;0;0;0;OFF;0
Atacama;Alto_del_Carmen;3302;1;43893;330243893;0;0;0;0;0;0;0;0;OFF;0
Tarapaca;Alto_Hospicio;1107;1;43893;110743893;0;0;0;0;0;0;0;0;OFF;46
Los_Lagos;Ancud;10202;1;43893;1020243893;0;0;0;0;0;0;0;0;OFF;25
Coquimbo;Andacollo;4103;1;43893;410343893;0;0;0;0;0;0;0;0;OFF;7
La_Araucania;Angol;9201;1;43893;920143893;0;0;0;0;0;0;0;0;OFF;53
Antofagasta;Antofagasta;2101;1;43893;210143893;0;0;0;0;0;0;0;0;OFF;52
Biobio;Antuco;8302;1;43893;830243893;0;0;0;0;0;0;0;0;OFF;3
Biobio;Arauco;8202;1;43893;820243893;0;0;0;0;0;0;0;0;OFF;46
Arica_y_Parinacota;Arica;15101;1;43893;1510143893;0;0;0;0;0;0;0;0;OFF;54
Aysen;Aisen;11201;1;43893;1120143893;0;0;0;0;0;0;0;0;OFF;57
Metropolitana;Buin;13402;1;43893;1340243893;0;0;0;0;0;0;0;0;OFF;45
Nuble;Bulnes;16102;1;43893;1610243893;0;0;0;0;0;0;0;0;OFF;51
Valparaiso;Cabildo;5402;1;43893;540243893;0;0;0;0;0;0;0;0;OFF;15
Magallanes;Cabo_de_Hornos;12201;1;43893;1220143893;0;0;0;0;0;0;0;0;OFF;51
Biobio;Cabrero;8303;1;43893;830343893;0;0;0;0;0;0;0;0;OFF;45
Antofagasta;Calama;2201;1;43893;220143893;0;0;0;0;0;0;0;0;OFF;57
Los_Lagos;Calbuco;10102;1;43893;1010243893;0;0;0;0;0;0;0;0;OFF;48
Atacama;Caldera;3102;1;43893;310243893;0;0;0;0;0;0;0;0;OFF;7
Valparaiso;Calera;5502;1;43893;550243893;0;0;0;0;0;0;0;0;OFF;45
Metropolitana;Calera_de_Tango;13403;1;43893;1340343893;0;0;0;0;0;0;0;0;OFF;47
Valparaiso;Calle_Larga;5302;1;43893;530243893;0;0;0;0;0;0;0;0;OFF;39
Arica_y_Parinacota;Camarones;15102;1;43893;1510243893;0;0;0;0;0;0;0;0;OFF;0
Tarapaca;CamiNa;1402;1;43893;140243893;0;0;0;0;0;0;0;0;OFF;0
Coquimbo;Canela;4202;1;43893;420243893;0;0;0;0;0;0;0;0;OFF;5
Biobio;CaNete;8203;1;43893;820343893;0;0;0;0;0;0;0;0;OFF;2
La_Araucania;Carahue;9102;1;43893;910243893;0;0;0;0;0;0;0;0;OFF;48
Valparaiso;Cartagena;5603;1;43893;560343893;0;0;0;0;0;0;0;0;OFF;36
Valparaiso;Casablanca;5102;1;43893;510243893;0;0;0;0;0;0;0;0;OFF;47
Los_Lagos;Castro;10201;1;43893;1020143893;0;0;0;0;0;0;0;0;OFF;45
Valparaiso;Catemu;5702;1;43893;570243893;0;0;0;0;0;0;0;0;OFF;7
Maule;Cauquenes;7201;1;43893;720143893;0;0;0;0;0;0;0;0;OFF;43
Metropolitana;Cerrillos;13102;1;43893;1310243893;0;0;0;0;0;0;0;0;OFF;46
Metropolitana;Cerro_Navia;13103;1;43893;1310343893;0;0;0;0;0;0;0;0;OFF;52
Los_Lagos;Chaiten;10401;1;43893;1040143893;0;0;0;0;0;0;0;0;OFF;39
Atacama;ChaNaral;3201;1;43893;320143893;0;0;0;0;0;0;0;0;OFF;0
Maule;Chanco;7202;1;43893;720243893;0;0;0;0;0;0;0;0;OFF;22
O_Higgins;Chepica;6302;1;43893;630243893;0;0;0;0;0;0;0;0;OFF;0
Biobio;Chiguayante;8103;1;43893;810343893;0;0;0;0;0;0;0;0;OFF;50
Aysen;Chile_Chico;11401;1;43893;1140143893;0;0;0;0;0;0;0;0;OFF;39
Nuble;Chillan;16101;1;43893;1610143893;0;0;0;0;0;0;0;0;OFF;59
Nuble;Chillan_Viejo;16103;1;43893;1610343893;0;0;0;0;0;0;0;0;OFF;55
O_Higgins;Chimbarongo;6303;1;43893;630343893;0;0;0;0;0;0;0;0;OFF;46
La_Araucania;Cholchol;9121;1;43893;912143893;0;0;0;0;0;0;0;0;OFF;31
Los_Lagos;Chonchi;10203;1;43893;1020343893;0;0;0;0;0;0;0;0;OFF;0
Aysen;Cisnes;11202;1;43893;1120243893;0;0;0;0;0;0;0;0;OFF;0
Nuble;Cobquecura;16202;1;43893;1620243893;0;0;0;0;0;0;0;0;OFF;0
Los_Lagos;Cochamo;10103;1;43893;1010343893;0;0;0;0;0;0;0;0;OFF;29
Aysen;Cochrane;11301;1;43893;1130143893;0;0;0;0;0;0;0;0;OFF;0
O_Higgins;Codegua;6102;1;43893;610243893;0;0;0;0;0;0;0;0;OFF;21
Nuble;Coelemu;16203;1;43893;1620343893;0;0;0;0;0;0;0;0;OFF;38
